City,Country,Latitude,Longitude,Date,Wind_Speed,Pressure,Humidity,Temperature,Cloudiness
Cabedelo,BR,-6.9811,-34.8339,1668101451.0,10.78,1011.0,67.0,86.67,70.0
Mataura,NZ,-46.1927,168.8643,1668101453.0,2.55,1022.0,93.0,46.58,1.0
phan rang,,,,,,,,,
nizhneyansk,,,,,,,,,
Pontianak,ID,-0.0333,109.3333,1668101456.0,1.14,1010.0,100.0,76.98,75.0
taolanaro,,,,,,,,,
Kapaa,US,22.0752,-159.319,1668101327.0,6.91,1020.0,80.0,70.7,20.0
Hermanus,ZA,-34.4187,19.2345,1668101460.0,18.3,1014.0,75.0,62.8,1.0
Pevek,RU,69.7008,170.3133,1668101461.0,2.93,1007.0,97.0,-4.0,100.0
Hokitika,NZ,-42.7167,170.9667,1668101462.0,4.47,1021.0,64.0,52.57,18.0
Avarua,CK,-21.2078,-159.775,1668101282.0,10.36,1018.0,78.0,73.45,40.0
Souillac,MU,-20.5167,57.5167,1668101465.0,3.44,1018.0,78.0,73.78,40.0
Itoman,JP,26.1247,127.6694,1668101467.0,9.22,1018.0,94.0,73.42,100.0
Vila,PT,42.0304,-8.1588,1668101468.0,2.53,1023.0,84.0,53.71,27.0
Zhaoqing,CN,23.0512,112.4597,1668101470.0,0.81,1015.0,81.0,76.82,0.0
Gonder,ET,12.6,37.4667,1668101471.0,5.5,1016.0,80.0,58.46,79.0
Mar del Plata,AR,-38.0023,-57.5575,1668101406.0,23.0,1015.0,78.0,67.75,0.0
Ushuaia,AR,-54.8,-68.3,1668101474.0,9.22,1010.0,40.0,49.66,0.0
Castro,BR,-24.7911,-50.0119,1668101475.0,4.23,1012.0,35.0,78.78,68.0
tubruq,,,,,,,,,
Hasaki,JP,35.7333,140.8333,1668101477.0,17.18,1023.0,52.0,48.6,4.0
Lima,PE,-12.0432,-77.0282,1668101401.0,16.11,1017.0,60.0,66.45,20.0
Sur,OM,22.5667,59.5289,1668101480.0,3.06,1018.0,73.0,78.46,4.0
belushya guba,,,,,,,,,
Imbituba,BR,-28.24,-48.6703,1668101483.0,6.06,1015.0,66.0,70.84,1.0
Mopipi,BW,-21.1833,24.8833,1668101485.0,17.63,1007.0,33.0,86.92,16.0
Constitución,CL,-35.3333,-72.4167,1668101486.0,5.86,1017.0,67.0,60.03,100.0
